Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Dominica,DMA,Population density (people per sq. km of land area),EN.POP.DNST,95.988
Dominican Republic,DOM,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2.252392991
Dominican Republic,DOM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Dominican Republic,DOM,Net migration,SM.POP.NETM,..
Dominican Republic,DOM,Population growth (annual %),SP.POP.GROW,1.00939108305127
Dominican Republic,DOM,Population density (people per sq. km of land area),EN.POP.DNST,224.547795487477
Ecuador,ECU,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.905077948
Ecuador,ECU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Ecuador,ECU,Net migration,SM.POP.NETM,..
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,1.53874114229084
Ecuador,ECU,Population density (people per sq. km of land area),EN.POP.DNST,71.0382509260751
"Egypt, Arab Rep.",EGY,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
"Egypt, Arab Rep.",EGY,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,..
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,1.92024763689114
"Egypt, Arab Rep.",EGY,Population density (people per sq. km of land area),EN.POP.DNST,102.802152795218
El Salvador,SLV,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.297384925
El Salvador,SLV,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
El Salvador,SLV,Net migration,SM.POP.NETM,..
El Salvador,SLV,Population growth (annual %),SP.POP.GROW,0.50466302323087
El Salvador,SLV,Population density (people per sq. km of land area),EN.POP.DNST,313.040588803089
Equatorial Guinea,GNQ,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Equatorial Guinea,GNQ,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,..
